6134,n.,denial,abnegation
6135,adj.,aberrant,abnormal
6136,adj.,anomalous,abnormal
6137,adj.,atypical,abnormal
6138,adj.,deviant,abnormal
6139,adj.,irregular,abnormal
6140,n.,irregularity,abnormality
6141,n.,aberration,abnormality
6142,n.,anomaly,abnormality
6143,n.,deviation,abnormality
6144,n.,oddity,abnormality
6145,adj.,on the bus,aboard
6146,adj.,on the train,aboard
6147,adj.,onboard,aboard
6148,prep.,inside,aboard
6149,prep.,on,aboard
6150,prep.,on to,aboard
6151,adv.,involved,aboard
6152,adv.,on board,aboard
6153,adv.,on the plane,aboard
6154,adv.,on the team,aboard
6155,adv.,with us,aboard
6156,n.,home,abode
6157,n.,dwelling,abode
6158,n.,house,abode
6159,n.,place,abode
6160,n.,residence,abode
6161,v.,bring to an end,abolish
6162,v.,close down,abolish
6163,v.,do away with,abolish
6164,v.,eliminate,abolish
6165,v.,end,abolish
6166,n.,elimination,abolition
6167,n.,ending,abolition
6168,n.,closing down,abolition
6169,n.,eradication,abolition
6170,n.,closure,abolition
6171,n.,opponent,abolitionist
6172,n.,objector,abolitionist
6173,n.,protester,abolitionist
6174,n.,eradicator,abolitionist
6175,n.,adversary,abolitionist
6176,adj.,atrocious,abominable
6177,adj.,awful,abominable
6178,adj.,detestable,abominable
6179,adj.,dreadful,abominable
6180,adj.,horrendous,abominable
6181,adv.,dreadfully,abominably
6182,adv.,atrociously,abominably
6183,adv.,revoltingly,abominably
6184,adv.,horribly,abominably
6185,adv.,terribly,abominably
6186,v.,abhor,abominate
6187,v.,despise,abominate
6188,v.,detest,abominate
6189,v.,disapprove,abominate
6190,v.,dislike,abominate
6191,n.,abhorrence,abomination
6192,n.,atrocity,abomination
6193,n.,detestation,abomination
6194,n.,disgrace,abomination
6195,n.,disgust,abomination
6196,adj.,autochthonous,aboriginal
6197,adj.,indigenous,aboriginal
6198,adj.,local,aboriginal
6199,adj.,native,aboriginal
6200,adj.,original,aboriginal
6201,v.,abandon,abort
6202,v.,break off,abort
6203,v.,call a halt,abort
6204,v.,call off,abort
6205,v.,cancel,abort
6206,v.,abandon,aborted
6207,v.,break off,aborted
6208,v.,call a halt,aborted
6209,v.,call off,aborted
6210,v.,cancel,aborted
6211,adj.,bungled,abortive
6212,adj.,failed,abortive
6213,adj.,fruitless,abortive
6214,adj.,futile,abortive
6215,adj.,unproductive,abortive
6216,v.,thrive,abound
6217,v.,flourish,abound
6218,v.,prosper,abound
6219,v.,proliferate,abound
6220,v.,overflow,abound
6221,v.,thrive,abounding
6222,v.,flourish,abounding
6223,v.,prosper,abounding
6224,v.,proliferate,abounding
6225,v.,overflow,abounding
6226,prep.,apropos,about
6227,prep.,as regards,about
6228,prep.,concerning,about
6229,prep.,in relation to,about
6230,prep.,on,about
6231,adv.,almost,about
6232,adv.,approximately,about
6233,adv.,around,about
6234,adv.,in the region of,about
6235,adv.,near,about
6236,prep.,more than,above
6237,prep.,beyond,above
6238,prep.,exceeding,above
6239,prep.,on top of,above
6240,prep.,over,above
6241,adv.,overhead,above
6242,adv.,in the air,above
6243,adv.,upstairs,above
6244,adj.,correct,aboveboard
6245,adj.,fair,aboveboard
6246,adj.,forthright,aboveboard
6247,adj.,honest,aboveboard
6248,adj.,kosher,aboveboard
6249,int.,hocus-pocus,abracadabra
6250,int.,open sesame,abracadabra
6251,int.,presto,abracadabra
6252,int.,hey presto,abracadabra
6253,v.,chafe,abrade
6254,v.,graze,abrade
6255,v.,grind,abrade
6256,v.,grind down,abrade
6257,v.,rasp,abrade
6258,n.,graze,abrasion
6259,n.,scrape,abrasion
6260,n.,scratch,abrasion
6261,n.,scuff,abrasion
6262,adj.,aggressive,abrasive
6263,adj.,argumentative,abrasive
6264,adj.,brusque,abrasive
6265,adj.,coarse,abrasive
6266,adj.,grainy,abrasive
6267,adv.,alongside,abreast
6268,adv.,beside,abreast
6269,adv.,level,abreast
6270,adv.,next to,abreast
6271,adv.,shoulder to shoulder,abreast
6272,adj.,au courant,abreast
6273,adj.,au fait,abreast
6274,adj.,in on,abreast
6275,adj.,in touch,abreast
6276,adj.,up with,abreast
6277,v.,abbreviate,abridge
6278,v.,condense,abridge
6279,v.,curtail,abridge
6280,v.,edit,abridge
6281,v.,reduce,abridge
6282,adj.,shortened,abridged
6283,adj.,edited,abridged
6284,adj.,condensed,abridged
6285,adj.,reduced,abridged
6286,adj.,abbreviated,abridged
6287,adv.,away,abroad
6288,adv.,out of the country,abroad
6289,adv.,overseas,abroad
6290,v.,repeal,abrogate
6291,v.,revoke,abrogate
6292,v.,rescind,abrogate
6293,v.,retract,abrogate
6294,v.,annul,abrogate
6295,n.,retraction,abrogation
6296,n.,repeal,abrogation
6297,n.,annulment,abrogation
6298,n.,abolition,abrogation
6299,n.,revocation,abrogation
6300,adj.,sudden,abrupt
6301,adj.,unexpected,abrupt
6302,adj.,rude,abrupt
6303,adj.,gruff,abrupt
6304,adj.,curt,abrupt
6305,adv.,suddenly,abruptly
6306,adv.,unexpectedly,abruptly
6307,adv.,rapidly,abruptly
6308,adv.,hastily,abruptly
6309,adv.,immediately,abruptly
6310,n.,suddenness,abruptness
6311,n.,rapidity,abruptness
6312,n.,hastiness,abruptness
6313,n.,quickness,abruptness
6314,n.,brusqueness,abruptness
6315,n.,boil,abscess
6316,n.,pustule,abscess
6317,n.,sore,abscess
6318,n.,swelling,abscess
6319,n.,eruption,abscess
6320,n.,boil,abscessed
6321,n.,pustule,abscessed
6322,n.,sore,abscessed
6323,n.,swelling,abscessed
6324,n.,eruption,abscessed
6325,v.,run away,abscond
6326,v.,escape,abscond
6327,v.,break out,abscond
6328,v.,make off,abscond
6329,v.,flee,abscond
6330,n.,nonappearance,absence
6331,n.,absenteeism,absence
6332,n.,time off,absence
6333,n.,lack,absence
6334,n.,nonexistence,absence
6335,adj.,deficient,absent
6336,adj.,far away,absent
6337,adj.,gone,absent
6338,adj.,inattentive,absent
6339,adj.,lacking,absent
6340,adv.,away from home,absent
6341,adv.,elsewhere,absent
6342,adv.,not at home,absent
6343,adv.,not in,absent
6344,n.,truant,absentee
6345,n.,defaulter,absentee
6346,n.,runaway,absentee
6347,n.,absence,absenteeism
6348,n.,nonattendance,absenteeism
6349,n.,skiving,absenteeism
6350,n.,nonappearance,absenteeism
6351,n.,truancy,absenteeism
6352,adv.,inattentively,absently
6353,adv.,vaguely,absently
6354,adv.,dreamily,absently
6355,adv.,distractedly,absently
6356,adv.,abstractedly,absently
6357,adv.,forgetfully,absentmindedly
6358,adv.,distractedly,absentmindedly
6359,adv.,vaguely,absentmindedly
6360,adv.,dreamily,absentmindedly
6361,adv.,idly,absentmindedly
6362,adj.,total,absolute
6363,adj.,complete,absolute
6364,adj.,utter,absolute
6365,adj.,unconditional,absolute
6366,adj.,unlimited,absolute
6367,n.,given,absolute
6368,n.,rule,absolute
6369,n.,principle,absolute
6370,n.,truth,absolute
6371,n.,fundamental,absolute
6372,adv.,totally,absolutely
6373,adv.,completely,absolutely
6374,adv.,utterly,absolutely
6375,adv.,extremely,absolutely
6376,adv.,entirely,absolutely
6377,n.,forgiveness,absolution
6378,n.,pardon,absolution
6379,n.,release,absolution
6380,n.,freedom,absolution
6381,n.,liberty,absolution
6382,n.,totalitarianism,absolutism
6383,n.,despotism,absolutism
6384,n.,dictatorship,absolutism
6385,n.,tyranny,absolutism
6386,n.,autocracy,absolutism
6387,v.,pardon,absolve
6388,v.,forgive,absolve
6389,v.,clear,absolve
6390,v.,release,absolve
6391,v.,free,absolve
6392,v.,admit,absorb
6393,v.,attract,absorb
6394,v.,captivate,absorb
6395,v.,engage,absorb
6396,v.,engross,absorb
6397,adj.,engrossed,absorbed
6398,adj.,fascinated,absorbed
6399,adj.,captivated,absorbed
6400,adj.,riveted,absorbed
6401,adj.,immersed,absorbed
6402,n.,porosity,absorbency
6403,n.,sponginess,absorbency
6404,n.,permeability,absorbency
6405,n.,penetrability,absorbency
6406,n.,perviousness,absorbency
6407,adj.,porous,absorbent
6408,adj.,spongy,absorbent
6409,adj.,permeable,absorbent
6410,adj.,penetrable,absorbent
6411,adj.,pervious,absorbent
6412,adj.,fascinating,absorbing
6413,adj.,engrossing,absorbing
6414,adj.,captivating,absorbing
6415,adj.,gripping,absorbing
6416,adj.,riveting,absorbing
6417,n.,amalgamation,absorption
6418,n.,assimilation,absorption
6419,n.,captivation,absorption
6420,n.,combination,absorption
6421,n.,concentration,absorption
6422,v.,desist,abstain
6423,v.,refrain,abstain
6424,v.,withdraw,abstain
6425,v.,withhold,abstain
6426,v.,go without,abstain
6427,n.,avoider,abstainer
6428,n.,teetotaler,abstainer
6429,n.,teetotaller,abstainer
6430,n.,nonvoter,abstainer
6431,n.,hedger,abstainer
6432,adj.,self-denying,abstemious
6433,adj.,self-disciplined,abstemious
6434,adj.,moderate,abstemious
6435,adj.,ascetic,abstemious
6436,adj.,sober,abstemious
6437,n.,nonparticipation,abstention
6438,n.,holding back,abstention
6439,n.,self-denial,abstinence
6440,n.,self-restraint,abstinence
6441,n.,self-discipline,abstinence
6442,n.,moderation,abstinence
6443,n.,asceticism,abstinence
6444,adj.,ascetic,abstinent
6445,adj.,abstemious,abstinent
6446,adj.,sober,abstinent
6447,adj.,temperate,abstinent
6448,adj.,teetotal,abstinent
6449,v.,summarize,abstract
6450,v.,conceptualize,abstract
6451,v.,theorize,abstract
6452,v.,extract,abstract
6453,v.,take out,abstract
6454,n.,summary,abstract
6455,n.,synopsis,abstract
6456,n.,abridgment,abstract
6457,n.,short version,abstract
6458,adj.,intellectual,abstract
6459,adj.,mental,abstract
6460,adj.,theoretical,abstract
6461,adj.,conceptual,abstract
6462,adj.,inattentive,abstracted
6463,adj.,preoccupied,abstracted
6464,adj.,vague,abstracted
6465,adj.,distant,abstracted
6466,adj.,distracted,abstracted
6467,n.,preoccupation,abstraction
6468,n.,dreaminess,abstraction
6469,n.,vagueness,abstraction
6470,n.,woolgathering,abstraction
6471,n.,concept,abstraction
6472,adj.,obscure,abstruse
6473,adj.,perplexing,abstruse
6474,adj.,puzzling,abstruse
6475,adj.,complex,abstruse
6476,adj.,profound,abstruse
6477,adj.,bizarre,absurd
6478,adj.,empty,absurd
6479,adj.,farcical,absurd
6480,adj.,futile,absurd
6481,adj.,hollow,absurd
6482,n.,farce,absurdity
6483,n.,joke,absurdity
6484,n.,nonsense,absurdity
6485,n.,incongruity,absurdity
6486,n.,illogicality,absurdity
6487,adv.,ridiculously,absurdly
6488,adv.,farcically,absurdly
6489,adv.,nonsensically,absurdly
6490,adv.,ludicrously,absurdly
6491,adv.,incongruously,absurdly
6492,n.,copiousness,abundance
6493,n.,lavishness,abundance
6494,n.,plenty,abundance
6495,n.,profusion,abundance
6496,n.,richness,abundance
6497,adj.,plentiful,abundant
6498,adj.,copious,abundant
6499,adj.,rich,abundant
6500,adj.,profuse,abundant
6501,adj.,ample,abundant
6502,adv.,in abundance,abundantly
6503,adv.,copiously,abundantly
6504,adv.,richly,abundantly
6505,adv.,profusely,abundantly
6506,adv.,lavishly,abundantly
6507,n.,mistreatment,abuse
6508,n.,cruelty,abuse
6509,n.,ill-treatment,abuse
6510,n.,misuse,abuse
6511,n.,manipulation,abuse
6512,v.,exploit,abuse
6513,v.,manipulate,abuse
